,시설명,주소,위도,경도
122,"관악구민
종합체육센터",낙성대로3길 37,37.4730673056648,126.960315269279
123,미성요양원,난곡로63가길 42,37.4791865384536,126.91420790507
124,관악산공원,대학동,37.4706092043945,126.936970450155
125,예촌경로당,남현길 41,37.4745344073093,126.976878195324
126,당곡경로당,당곡6길 37,37.4922206877492,126.929437704298
127,방배노인종합복지관,방배천로 48,37.4807674284213,126.982786858367
128,구립양재노인종합복지관,강남대로30길 73-7,37.4830200110045,127.040815998673
129,구립중앙노인종합복지관,서초대로54길 45,37.4923242676548,127.016810974025
130,서초구립노인요양센터,남부순환로340길 21,37.4817426297404,127.024624698871
131,구립양재종합사회복지관,남부순환로 2610,37.4845270215352,127.036164479926
132,서초성심노인복지센터,반포대로22길 61,37.4905795361626,127.011767645583
133,방배2동 제2구립경로당,방배천로16길 5,37.4822353013283,126.983058324705
134,탑성마을 경로당,탑성말길6,37.4582295198548,127.05636629527
135,구립서초느티나무쉼터,반포대로1길 53-3,37.4828099577559,127.010878424592
136,구립논현노인종합복지관,강남대로128길 59,37.5120654214586,127.026088997835
137,구립강남노인종합복지관,삼성로 628 강남구청 삼성로 별관,37.5159106576619,127.05214255205
138,한마음경로당,논현로136길 5-8,37.5164211828866,127.030447228084
139,강남시니어플라자,봉은사로 332,37.5097871620279,127.043218315638
140,구립대치노인복지센터,역삼로69길 22,37.5030425172595,127.054130053578
141,강남스포츠문화센터,밤고개로1길 52,37.4890010498708,127.105280820161
142,학수정데이케어센터,도산대로17길 45,37.5213856688886,127.023532294352
143,압구정노인복지센터,도산대로53길 5,37.5235393856249,127.038172155595
144,대한노인회 강남구지회,선릉로 706,37.5180937698361,127.04125204363
145,서울요양원,헌릉로590길 50,37.4613703663442,127.104020538506
146,서울시니어스 강남타워,자곡로 100-2,37.4714953520547,127.095746441934
147,더시그넘하우스,자곡로 204-25,37.4732283306185,127.103778878303
148,강남70플러스라운지,남부순환로378길 20,37.4849825369002,127.0460984246
149,개릉경로당,동남로14길 17-46,37.4931575743278,127.133221071051
150,송파노인종합복지관,백제고분로32길 41,37.4986684599392,127.094895649961
151,구립송파 노인요양센터,충민로 184,37.4857949194391,127.134322169385
152,송파구노인회관,송파대로38길 1,37.500715370369,127.111876539948
153,남천경로당,성내천로33가길 16,37.5000076303597,127.154544398276
154,돌마리경로당,가락로7길 4,37.5005967037394,127.103273118545
155,풍납제1경로당,풍성로 67,37.5336036397816,127.120007599242
156,오금경로당,성내천로10길 4,37.502077421678,127.136240998424
157,거여2동구립새마을경로당,오금로62길 13-3,37.4921999047876,127.146747655466
158,마천경로당,성내천로38길 4,37.4977934919236,127.153652334835
159,방이경로당,가락로39길 11,37.5119092816259,127.117708217096
160,왕천경로당,양재대로71길 20-10,37.5112111969292,127.125060398522
161,시립고덕양로원,고덕로 199,37.5558970332835,127.146961766999
162,구립해공노인복지관,천중로17길 42-16,37.5462098401742,127.13171433403
163,강동노인회관,천중로49길 104,37.5452629874983,127.144717563264
164,성내천어르신사랑방,성안로3길 112-9,37.5285126023535,127.12404042548
165,성암장수마을 요양원,구천면로68길 46,37.5486544703182,127.142465612824
166,강동노인종합복지관,동남로71길 32-5,37.5522111843463,127.15462055421
167,쉼터경로당,올림픽로89길 27-23,37.5467987956776,127.124086561623
168,구립강암경로당,상암로15길 38-15,37.5504579238426,127.132065946177
169,일자산자연공원,둔촌동 산 125,37.5313902429999,127.150739845797
